"id","Layout","Layout percent","Mirror","Mirror percent","Palette","Palette percent","Region","Region percent","Vortex","Vortex direction","Vortex direction percent","Vortex percent","rarity","rank","id again"
183,"Vapor",13.67,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.449304178183907054755508",992,183
184,"Vapor",13.67,"None",97.85,"Xaico",0.59,"Topology",99.61,"None",,,95.8,"0.075309507138779888113511",287,184
185,"Rings",13.87,"None",97.85,"Folera",1.76,"Topology",99.61,"None",,,95.8,"0.227938878983569570557677",749,185
186,"Vapor",13.67,"None",97.85,"Forza",0.49,"Topology",99.61,"None",,,95.8,"0.062545183894918879308200",232,186
187,"Rings",13.87,"None",97.85,"Folera",1.76,"Topology",99.61,"None",,,95.8,"0.227938878983569570557677",748,187
188,"Flame",15.43,"None",97.85,"Levico",1.46,"Topology",99.61,"None",,,95.8,"0.210352685569167391355094",686,188
189,"Vapor",13.67,"None",97.85,"Xolee",0.39,"Topology",99.61,"None",,,95.8,"0.049780860651057891319571",174,189
190,"Marblelike",14.26,"None",97.85,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.234348119272220795084039",777,190
191,"Dotted",4.39,"None",97.85,"Radiosa",1.46,"Topology",99.61,"Soft","Left",1.76,1.46,"0.000016052647521781024685",7,191
192,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None",,,95.8,"0.182978021008796287727449",621,192
193,"Oleo",13.96,"None",97.85,"Flama",2.15,"Topology",99.61,"None",,,95.8,"0.280254863087961991752195",844,193
194,"Oleo",13.96,"Single",1.86,"Pastel",1.86,"Topology",99.61,"None",,,95.8,"0.004608713975302080809171",65,194
195,"Oleo",13.96,"None",97.85,"Diluto",1.95,"Topology",99.61,"None",,,95.8,"0.254184643265825960245508",832,195
196,"Vapor",13.67,"None",97.85,"Fosfora",0.68,"Topology",99.61,"None",,,95.8,"0.086797398058254773833831",321,196
197,"Marblelike",14.26,"None",97.85,"Plomizo",2.25,"Topology",99.61,"None",,,95.8,"0.299592766115054920383898",873,197
198,"Vapor",13.67,"None",97.85,"Foresta",0.59,"Topology",99.61,"None",,,95.8,"0.075309507138779888113511",286,198
199,"Cells",3.81,"None",97.85,"Vitrio",0.49,"Topology",99.61,"None",,,95.8,"0.017432125138232695826801",101,199
200,"Oleo",13.96,"None",97.85,"Contra",0.68,"Topology",99.61,"None",,,95.8,"0.088638747395262396100435",356,200
201,"Vapor",13.67,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.199123442604231565278283",679,201
202,"Rings",13.87,"None",97.85,"Zovia",2.54,"Topology",99.61,"None",,,95.8,"0.328957245805833298213372",893,202
203,"Rings",13.87,"Single",1.86,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.007213158490991879862042",78,203
204,"Dotted",4.39,"None",97.85,"Radiosa",1.46,"Topology",99.61,"None",,,95.8,"0.059847588441260188285575",213,204
205,"Flame",15.43,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.450961579336639661885755",1003,205
206,"Marblelike",14.26,"None",97.85,"Tempesta",2.93,"Topology",99.61,"None",,,95.8,"0.390136357652049348132550",943,206
207,"Dotted",4.39,"None",97.85,"Elico",1.66,"Topology",99.61,"Soft","Right",2.44,1.46,"0.000025303410461636774382",12,207
208,"Filaments",4.39,"None",97.85,"Oniria",0.98,"Topology",99.61,"None",,,95.8,"0.040171668953722594608280",146,208
209,"Marblelike",14.26,"None",97.85,"Humo",1.27,"Topology",99.61,"None",,,95.8,"0.169103472429386531006301",596,209
210,"Oleo",13.96,"None",97.85,"Tormenta",1.46,"Topology",99.61,"None",,,95.8,"0.190312604701592807954214",661,210
211,"Flame",15.43,"None",97.85,"Armodeo",0.78,"Topology",99.61,"None",,,95.8,"0.112380201879418190058502",414,211
212,"Dotted",4.39,"None",97.85,"Propano",3.13,"Topology",99.61,"Strong","Right",2.44,1.95,"0.000063723125001072792499",22,212
213,"Rings",13.87,"None",97.85,"Volka",1.86,"Topology",99.61,"None",,,95.8,"0.240889951653090544914093",795,213
214,"Cellophane",5.66,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.186032307865465595941856",623,214
215,"Vapor",13.67,"None",97.85,"Melancolia",1.86,"Topology",99.61,"None",,,95.8,"0.237416412335814536183065",782,215
216,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None","Neutral",0.1,95.8,"0.000182978021008796301172",44,216
217,"Cells",3.81,"None",97.85,"Oniria",0.98,"Topology",99.61,"None",,,95.8,"0.034864250276465391653602",131,217
218,"Oleo",13.96,"None",97.85,"Aurantia",2.93,"Black hole",0.39,"None",,,95.8,"0.001495353889707600174991",54,218
219,"Rings",13.87,"None",97.85,"Volka",1.86,"Topology",99.61,"None",,,95.8,"0.240889951653090544914093",790,219
220,"Cellophane",5.66,"None",97.85,"Humo",1.27,"Topology",99.61,"None",,,95.8,"0.067119611076460597431925",261,220
221,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None",,,95.8,"0.182978021008796287727449",619,221
222,"Flame",15.43,"None",97.85,"Morado",1.17,"Topology",99.61,"None",,,95.8,"0.168570302819127243454389",592,222
